Symptom 1,Symptom 2,Symptom 3,Disease,Treatment,Surgery
overactive reflexes,instability,Chest pain (angina),Arrhythmia,Healthy lifestyle changes,Cardiac ablation
overactive reflexes,instability,Neck pain,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
overactive reflexes,Neck pain,instability,Arrhythmia,Healthy lifestyle changes,Cardiac ablation
Dry or watery eyes, feeding difficulties ,Blurred Vision,stroke, tPA (clot buster),Carotid endarterectomy (CEA) 
Dry or watery eyes,Blurred Vision, feeding difficulties ,stroke,tPA(clot buster),Carotid endarterectomy (CEA) 
 feeding difficulties ,Blurred Vision,Dry or watery eyes,stroke, tPA (clot buster),Carotid endarterectomy (CEA) 
 feeding difficulties ,Dry or watery eyes,Blurred Vision,stroke, tPA (clot buster),Carotid endarterectomy (CEA) 
Blurred Vision, feeding difficulties ,Dry or watery eyes,stroke, tPA (clot buster),Carotid endarterectomy (CEA) 
Blurred Vision,Dry or watery eyes, feeding difficulties ,stroke, tPA (clot buster),Carotid endarterectomy (CEA) 
fainting,Difficulty breathing,shortness of breath,Pericarditis,anti-inflammatories,Pericardiectomy
fainting,shortness of breath,Difficulty breathing,Pericarditis,anti-inflammatories,Pericardiectomy
shortness of breath,fainting,Difficulty breathing,Pericarditis,anti-inflammatories,Pericardiectomy
shortness of breath,Difficulty breathing,fainting,Pericarditis,anti-inflammatories,Pericardiectomy
Difficulty breathing,fainting,shortness of breath,Pericarditis,anti-inflammatories,Pericardiectomy
Difficulty breathing,shortness of breath,fainting,Pericarditis,anti-inflammatories,Pericardiectomy
Blurred Vision,Low-grade fever,chest pressure,congenital heart disease,Medications,Open-Heart Surgery
Blurred Vision,chest pressure,Low-grade fever,congenital heart disease,Medications,Open-Heart Surgery
chest pressure,Blurred Vision,Low-grade fever,congenital heart disease,Medications,Open-Heart Surgery
chest pressure,Low-grade fever,Blurred Vision,congenital heart disease,Medications,Open-Heart Surgery
Low-grade fever,Blurred Vision,chest pressure,congenital heart disease,Medications,Open-Heart Surgery
Low-grade fever,chest pressure,Blurred Vision,congenital heart disease,Medications,Open-Heart Surgery
 feeding difficulties ,difficulty walking,Cold sweats,Cardiomyopathy,cardiac catheterization ,septal myectomy
 feeding difficulties ,Cold sweats,difficulty walking,Cardiomyopathy,cardiac catheterization ,septal myectomy
difficulty walking, feeding difficulties ,Cold sweats,Cardiomyopathy,cardiac catheterization ,septal myectomy
difficulty walking,Cold sweats, feeding difficulties ,Cardiomyopathy,cardiac catheterization ,septal myectomy
Cold sweats, feeding difficulties ,difficulty walking,Cardiomyopathy,cardiac catheterization ,septal myectomy
Cold sweats,difficulty walking, feeding difficulties ,Cardiomyopathy,cardiac catheterization ,septal myectomy
coughing,Neck pain,Blurred Vision,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
coughing,Blurred Vision,Neck pain,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
coughing,Neck pain,instability,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
coughing,instability,Neck pain,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
coughing,Blurred Vision,instability,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
coughing,instability,Blurred Vision,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Neck pain,coughing,Blurred Vision,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Neck pain,Blurred Vision,coughing,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Neck pain,coughing,instability,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Neck pain,instability,coughing,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Neck pain,Blurred Vision,instability,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Neck pain,instability,Blurred Vision,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Blurred Vision,coughing,Neck pain,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Blurred Vision,Neck pain,coughing,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Blurred Vision,coughing,instability,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Blurred Vision,instability,coughing,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Blurred Vision,Neck pain,instability,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
Blurred Vision,instability,Neck pain,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
instability,coughing,Blurred Vision,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
instability,Blurred Vision,coughing,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
instability,coughing,Neck pain,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
instability,Neck pain,coughing,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
instability,Neck pain,Blurred Vision,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
instability,Blurred Vision,Neck pain,peripheral artery disease,"Tobacco cessation, exercise and a healthy diet ", bypass grafting
